"timestamp.fromStart","current","voltage","groups.0.current","groups.1.current"
147710,0,5.15,0,1
148790,0,5.14,0,1
149736,0,5.15,0,1
150629,0,5.15,0,1
151766,0,5.14,0,1
152697,0,5.15,0,1
153783,0,5.14,0,1
154684,0,5.15,0,1
155801,0,5.14,0,1
156710,0,5.15,0,1
157817,0,5.15,0,1
158732,0,5.14,0,1
159673,0,5.15,0,1
160785,0,5.14,0,1
161675,0,5.15,0,1
162784,0,5.15,0,1
163734,0,5.15,0,1
164818,0,5.15,0,1
165728,0,5.15,0,1
166653,0,5.15,0,1
167767,0,5.15,0,1
168673,0,5.15,0,1
169815,0,5.15,0,1
170724,0,5.15,0,1
171807,0,5.14,0,1
172755,0,5.15,0,1
173643,0,5.15,0,1
174776,0,5.15,0,1
175670,0,5.15,0,1
176814,0,5.15,0,1
177696,0,5.15,0,1
178805,0,5.15,0,1
179750,0,5.15,0,1
180851,0,5.14,0,1
181753,0,5.14,0,1
182691,0,5.14,0,1
183802,0,5.14,0,1
184702,0,5.15,0,1
185803,0,5.15,0,1
186727,0,5.14,0,1
187829,0,5.14,0,1
188775,0,5.14,0,1
189670,0,5.14,0,1
190806,0,5.15,0,1
191706,0,5.15,0,1
192801,0,5.15,0,1
193749,0,5.15,0,1
194839,0,5.15,0,1
195745,0,5.15,0,1
196686,0,5.15,0,1
197780,0,5.14,0,1
198723,0,5.15,0,1
199799,0,5.14,0,1
200744,0,5.15,0,1
201853,0,5.15,0,1
202759,0,5.15,0,1
203851,0,5.15,0,1
204770,0,5.15,0,1
205697,0,5.15,0,1
206797,0,5.15,0,1
207735,0,5.15,0,1
208823,0,5.15,0,1
209764,0,5.15,0,1
210849,0,5.15,0,1
211798,0,5.15,0,1
212698,0,5.15,0,1
213793,0,5.15,0,1
214735,0,5.15,0,1
215819,0,5.15,0,1
216769,0,5.15,0,1
217850,0,5.15,0,1
218783,0,5.15,0,1
219683,0,5.14,0,1
220821,0,5.15,0,1
221734,0,5.14,0,1
222815,0,5.15,0,1
223763,0,5.15,0,1
224843,0,5.15,0,1
225782,0,5.15,0,1
226869,0,5.15,0,1
227818,0,5.15,0,1
228903,0,5.15,0,1
229822,0,5.15,0,1
230736,0,5.15,0,1
231871,0,5.14,0,1
232778,0,5.15,0,1
233867,0,5.15,0,1
234801,0,5.15,0,1
235710,0,5.15,0,1
236808,0,5.15,0,1
237749,0,5.15,0,1
238835,0,5.15,0,1
239768,0,5.15,0,1
240871,0,5.15,0,1
241778,0,5.15,0,1
242892,0,5.15,0,1
243817,0,5.15,0,1
244722,0,5.15,0,1
245857,0,5.15,0,1
246751,0,5.15,0,1
247865,0,5.15,0,1
248773,0,5.15,0,1
249888,0,5.15,0,1
250799,0,5.15,0,1
251726,0,5.14,0,1
252850,0,5.15,0,1
253777,0,5.15,0,1
254853,0,5.15,0,1
255793,0,5.15,0,1
256886,0,5.15,0,1
257796,0,5.14,0,1
258926,0,5.15,0,1
259826,0,5.15,0,1
260739,0,5.15,0,1
261866,0,5.15,0,1
262766,0,5.15,0,1
263882,0,5.14,0,1
264815,0,5.14,0,1
265907,0,5.15,0,1
266827,0,5.14,0,1
267736,0,5.15,0,1
268846,0,5.15,0,1
269762,0,5.14,0,1
270880,0,5.15,0,1
271793,0,5.14,0,1
272920,0,5.15,0,1
273844,0,5.14,0,1
274755,0,5.15,0,1
275842,0,5.15,0,1
276783,0,5.15,0,1
277868,0,5.15,0,1
278804,0,5.15,0,1
279927,0,5.15,0,1
280819,0,5.15,0,1
281739,0,5.15,0,1
282839,0,5.15,0,1
283756,0,5.15,0,1
284882,0,5.14,0,1
285783,0,5.15,0,1
286919,0,5.14,0,1
287819,0,5.15,0,1
288919,0,5.15,0,1
289867,0,5.15,0,1
290778,0,5.14,0,1
291864,0,5.15,0,1
292821,0,5.15,0,1
293890,0,5.14,0,1
294834,0,5.15,0,1
295916,0,5.15,0,1
296862,0,5.15,0,1
297976,0,5.15,0,1
298876,0,5.14,0,1
299779,0,5.15,0,1
300899,0,5.15,0,1
301804,0,5.15,0,1
302912,0,5.15,0,1
303859,0,5.15,0,1
304940,0,5.14,0,1
305881,0,5.15,0,1
306773,0,5.14,0,1
307884,0,5.15,0,1
308824,0,5.15,0,1
309935,0,5.14,0,1
310843,0,5.15,0,1
311949,0,5.15,0,1
312885,0,5.15,0,1
313770,0,5.15,0,1
314886,0,5.15,0,1
315814,0,5.14,0,1
316925,0,5.15,0,1
317825,0,5.15,0,1
318957,0,5.14,0,1
319851,0,5.15,0,1
320988,0,5.15,0,1
